Personality,Budget,Brand,Place to Wear,Combination of Clothes,Suitable Climate,Comfortability,Material
Bohemian,High,Adidas,Formal Event,Tank Top + Shorts + Sandals,Rainy,Comfortable,Wool
Streetwear,Low,Balenciaga,Formal Event,Denim Jacket + Skirt + Boots,Mild,Comfortable,Denim
Formal,High,Gucci,Casual Outing,Tank Top + Shorts + Sandals,Windy,High Comfort,Denim
Casual,Low,Nike,Office,Denim Jacket + Skirt + Boots,Cold,Moderate,Wool
Casual,High,Under Armour,Office,Hoodie + Joggers + Trainers,Mild,High Comfort,Polyester
Formal,High,Balenciaga,Formal Event,Hoodie + Joggers + Trainers,Rainy,Comfortable,Cotton
Casual,Luxury,Adidas,Casual Outing,T-Shirt + Jeans + Sneakers,Mild,Comfortable,Cotton
Casual,Luxury,Under Armour,Formal Event,Blazer + Chinos + Loafers,Windy,High Comfort,Wool
Athleisure,Luxury,Under Armour,Night Out,Tank Top + Shorts + Sandals,Rainy,Comfortable,Cotton
Casual,High,Balenciaga,Night Out,Denim Jacket + Skirt + Boots,Rainy,Moderate,Leather
Bohemian,Luxury,Zara,Casual Outing,Dress + Heels,Mild,High Comfort,Denim
Casual,Luxury,Uniqlo,Office,Dress + Heels,Cold,High Comfort,Denim
Formal,Medium,Nike,Casual Outing,Hoodie + Joggers + Trainers,Cold,Casual,Leather
Athleisure,High,H&M,Formal Event,Suit + Tie + Oxford Shoes,Mild,Moderate,Wool
Formal,Medium,H&M,Formal Event,Dress + Heels,Hot,Comfortable,Leather
Streetwear,Luxury,Prada,Gym,T-Shirt + Jeans + Sneakers,Windy,High Comfort,Polyester
Bohemian,Luxury,Gucci,Office,Hoodie + Joggers + Trainers,Rainy,Comfortable,Wool
Bohemian,High,Zara,Night Out,Blazer + Chinos + Loafers,Mild,Comfortable,Denim
Formal,Medium,Levi's,Casual Outing,Tank Top + Shorts + Sandals,Mild,High Comfort,Polyester
Casual,Low,Adidas,Casual Outing,Suit + Tie + Oxford Shoes,Mild,Moderate,Cotton
Bohemian,High,Balenciaga,Formal Event,Tank Top + Shorts + Sandals,Cold,Comfortable,Wool
Formal,Medium,Levi's,Casual Outing,Tank Top + Shorts + Sandals,Cold,Comfortable,Leather
Casual,Low,Uniqlo,Office,Dress + Heels,Windy,Comfortable,Cotton
Athleisure,Low,Zara,Formal Event,Blazer + Chinos + Loafers,Rainy,Moderate,Cotton
Streetwear,Low,Balenciaga,Gym,T-Shirt + Jeans + Sneakers,Cold,Casual,Wool
Streetwear,Medium,Adidas,Casual Outing,Tank Top + Shorts + Sandals,Cold,Casual,Polyester
Streetwear,Medium,Adidas,Formal Event,Hoodie + Joggers + Trainers,Cold,High Comfort,Cotton
Athleisure,Luxury,H&M,Casual Outing,Suit + Tie + Oxford Shoes,Rainy,High Comfort,Wool
Bohemian,Medium,H&M,Office,Hoodie + Joggers + Trainers,Cold,Comfortable,Leather
Athleisure,Medium,Nike,Formal Event,Tank Top + Shorts + Sandals,Hot,Casual,Polyester
Bohemian,Luxury,Under Armour,Formal Event,Denim Jacket + Skirt + Boots,Cold,Casual,Denim
Bohemian,Luxury,Balenciaga,Formal Event,Dress + Heels,Cold,Casual,Cotton
Casual,High,Balenciaga,Gym,Suit + Tie + Oxford Shoes,Cold,High Comfort,Denim
Streetwear,Luxury,Prada,Gym,Suit + Tie + Oxford Shoes,Windy,High Comfort,Cotton
Bohemian,Low,H&M,Office,Hoodie + Joggers + Trainers,Rainy,Casual,Leather
Streetwear,Medium,Nike,Night Out,Denim Jacket + Skirt + Boots,Windy,Comfortable,Polyester
Athleisure,High,Gucci,Beach,Hoodie + Joggers + Trainers,Mild,Moderate,Polyester
Formal,Luxury,Balenciaga,Gym,Denim Jacket + Skirt + Boots,Rainy,High Comfort,Wool
Bohemian,Luxury,Nike,Formal Event,Dress + Heels,Mild,Moderate,Denim
Formal,Medium,Levi's,Gym,Denim Jacket + Skirt + Boots,Cold,High Comfort,Wool
Athleisure,Medium,Zara,Office,Tank Top + Shorts + Sandals,Cold,Comfortable,Wool
Casual,High,Gucci,Night Out,Blazer + Chinos + Loafers,Rainy,High Comfort,Denim
Bohemian,Medium,Adidas,Casual Outing,Tank Top + Shorts + Sandals,Rainy,High Comfort,Polyester
Formal,Luxury,Nike,Casual Outing,T-Shirt + Jeans + Sneakers,Rainy,Casual,Leather
Formal,Medium,Gucci,Beach,Dress + Heels,Mild,Casual,Wool
Bohemian,Low,Adidas,Formal Event,Blazer + Chinos + Loafers,Hot,Moderate,Denim
Casual,High,Gucci,Night Out,Dress + Heels,Rainy,Casual,Denim
Formal,Medium,Gucci,Casual Outing,T-Shirt + Jeans + Sneakers,Windy,High Comfort,Denim
Athleisure,High,H&M,Night Out,Denim Jacket + Skirt + Boots,Mild,High Comfort,Wool
Bohemian,High,Prada,Gym,T-Shirt + Jeans + Sneakers,Mild,High Comfort,Wool
Athleisure,Luxury,Under Armour,Night Out,Denim Jacket + Skirt + Boots,Mild,High Comfort,Wool
Streetwear,High,Prada,Beach,Denim Jacket + Skirt + Boots,Cold,High Comfort,Wool
Streetwear,Medium,Levi's,Office,Denim Jacket + Skirt + Boots,Hot,Comfortable,Wool
Streetwear,High,Balenciaga,Beach,Tank Top + Shorts + Sandals,Rainy,Casual,Polyester
Streetwear,Low,Gucci,Beach,Hoodie + Joggers + Trainers,Windy,High Comfort,Polyester
Streetwear,Medium,Adidas,Casual Outing,Suit + Tie + Oxford Shoes,Hot,Casual,Leather
Casual,Medium,Levi's,Casual Outing,Blazer + Chinos + Loafers,Cold,Comfortable,Leather
Formal,Luxury,Under Armour,Office,Dress + Heels,Cold,Comfortable,Cotton
Formal,Low,Balenciaga,Formal Event,T-Shirt + Jeans + Sneakers,Hot,Moderate,Polyester
Streetwear,Low,Zara,Night Out,Denim Jacket + Skirt + Boots,Rainy,Casual,Leather
Athleisure,Low,Levi's,Gym,Dress + Heels,Mild,Comfortable,Leather
Formal,High,Prada,Office,Tank Top + Shorts + Sandals,Windy,Casual,Denim
Casual,Low,Under Armour,Office,Hoodie + Joggers + Trainers,Hot,High Comfort,Cotton
Athleisure,Low,Uniqlo,Casual Outing,Tank Top + Shorts + Sandals,Cold,High Comfort,Leather
Athleisure,Luxury,Under Armour,Beach,Denim Jacket + Skirt + Boots,Rainy,High Comfort,Denim
Bohemian,Medium,Adidas,Night Out,Hoodie + Joggers + Trainers,Windy,Casual,Wool
Formal,Medium,Under Armour,Night Out,T-Shirt + Jeans + Sneakers,Hot,Casual,Polyester
Athleisure,Low,Zara,Office,Denim Jacket + Skirt + Boots,Hot,High Comfort,Wool
Bohemian,High,Levi's,Casual Outing,Denim Jacket + Skirt + Boots,Cold,Moderate,Polyester
Casual,High,Uniqlo,Beach,T-Shirt + Jeans + Sneakers,Cold,High Comfort,Denim
Athleisure,High,Zara,Office,Dress + Heels,Windy,Comfortable,Denim
Streetwear,Medium,Adidas,Office,Denim Jacket + Skirt + Boots,Hot,Casual,Leather
Formal,Low,Gucci,Gym,Denim Jacket + Skirt + Boots,Hot,Comfortable,Leather
Formal,Medium,Zara,Night Out,Denim Jacket + Skirt + Boots,Rainy,Comfortable,Wool
Casual,Medium,Uniqlo,Casual Outing,Blazer + Chinos + Loafers,Hot,Casual,Polyester
Casual,High,Levi's,Casual Outing,Hoodie + Joggers + Trainers,Mild,High Comfort,Denim
Athleisure,Low,Gucci,Office,Dress + Heels,Mild,Casual,Denim
Casual,Luxury,Zara,Casual Outing,Dress + Heels,Cold,Casual,Denim
Bohemian,High,Gucci,Beach,Blazer + Chinos + Loafers,Mild,Moderate,Wool
Streetwear,Low,Levi's,Beach,Denim Jacket + Skirt + Boots,Hot,Moderate,Cotton
Formal,High,Levi's,Gym,Blazer + Chinos + Loafers,Rainy,High Comfort,Denim
Athleisure,Medium,Under Armour,Formal Event,Dress + Heels,Windy,Moderate,Polyester
Athleisure,Medium,H&M,Gym,Tank Top + Shorts + Sandals,Rainy,Moderate,Denim
Formal,High,H&M,Gym,Blazer + Chinos + Loafers,Hot,High Comfort,Denim
Bohemian,High,Uniqlo,Office,Suit + Tie + Oxford Shoes,Rainy,High Comfort,Cotton
Athleisure,Low,Under Armour,Beach,Suit + Tie + Oxford Shoes,Cold,High Comfort,Polyester
Streetwear,Low,Adidas,Formal Event,Tank Top + Shorts + Sandals,Windy,Casual,Denim
Streetwear,Low,Zara,Office,Blazer + Chinos + Loafers,Windy,Comfortable,Denim
Athleisure,High,Gucci,Gym,Dress + Heels,Mild,Moderate,Wool
Streetwear,Medium,Gucci,Beach,Hoodie + Joggers + Trainers,Windy,Comfortable,Polyester
Bohemian,Medium,Nike,Office,Dress + Heels,Hot,Casual,Wool
Streetwear,Medium,Under Armour,Gym,Denim Jacket + Skirt + Boots,Mild,Comfortable,Cotton
Streetwear,Medium,Nike,Gym,Suit + Tie + Oxford Shoes,Mild,High Comfort,Polyester
Bohemian,High,Balenciaga,Formal Event,Blazer + Chinos + Loafers,Cold,Casual,Leather
Athleisure,High,H&M,Gym,T-Shirt + Jeans + Sneakers,Windy,Comfortable,Wool
Streetwear,High,Adidas,Beach,T-Shirt + Jeans + Sneakers,Rainy,High Comfort,Polyester
Streetwear,Low,Gucci,Office,Tank Top + Shorts + Sandals,Hot,Casual,Cotton
Casual,Medium,Under Armour,Office,Dress + Heels,Cold,Comfortable,Wool
Casual,Low,Uniqlo,Casual Outing,Dress + Heels,Rainy,Comfortable,Cotton
Formal,Low,Balenciaga,Formal Event,Hoodie + Joggers + Trainers,Mild,Moderate,Denim
Formal,High,Nike,Gym,Blazer + Chinos + Loafers,Windy,Casual,Cotton
Casual,Low,Uniqlo,Formal Event,Blazer + Chinos + Loafers,Cold,High Comfort,Denim
Bohemian,Luxury,Adidas,Beach,T-Shirt + Jeans + Sneakers,Hot,High Comfort,Wool
Streetwear,High,H&M,Office,Hoodie + Joggers + Trainers,Cold,High Comfort,Polyester
Bohemian,Luxury,Gucci,Night Out,Denim Jacket + Skirt + Boots,Mild,Casual,Denim
Streetwear,High,Prada,Beach,T-Shirt + Jeans + Sneakers,Mild,Casual,Polyester
Streetwear,Luxury,Balenciaga,Casual Outing,Dress + Heels,Cold,High Comfort,Wool
Streetwear,Medium,Prada,Formal Event,Tank Top + Shorts + Sandals,Hot,Comfortable,Cotton
Athleisure,Low,Gucci,Beach,Blazer + Chinos + Loafers,Cold,Casual,Cotton
Athleisure,Low,Prada,Night Out,Hoodie + Joggers + Trainers,Windy,High Comfort,Denim
Formal,Medium,Levi's,Night Out,Hoodie + Joggers + Trainers,Cold,High Comfort,Cotton
Casual,High,Under Armour,Casual Outing,Dress + Heels,Cold,Moderate,Denim
Bohemian,High,H&M,Night Out,Dress + Heels,Windy,High Comfort,Wool
Athleisure,Luxury,Nike,Night Out,T-Shirt + Jeans + Sneakers,Cold,Moderate,Leather
Streetwear,Low,Nike,Formal Event,Denim Jacket + Skirt + Boots,Rainy,Moderate,Wool
Casual,Medium,Nike,Casual Outing,T-Shirt + Jeans + Sneakers,Rainy,Casual,Cotton
Athleisure,Low,Balenciaga,Beach,Tank Top + Shorts + Sandals,Windy,Casual,Polyester
Athleisure,Luxury,Under Armour,Beach,Suit + Tie + Oxford Shoes,Rainy,Moderate,Denim
Formal,Low,Prada,Gym,Dress + Heels,Mild,Comfortable,Polyester
Streetwear,Medium,Uniqlo,Formal Event,Tank Top + Shorts + Sandals,Mild,Moderate,Polyester
Streetwear,Luxury,Under Armour,Beach,Dress + Heels,Mild,High Comfort,Polyester
Formal,Luxury,Under Armour,Office,Blazer + Chinos + Loafers,Windy,Moderate,Cotton
Casual,Medium,Balenciaga,Beach,T-Shirt + Jeans + Sneakers,Cold,Casual,Polyester
Formal,Medium,Prada,Night Out,Suit + Tie + Oxford Shoes,Cold,Moderate,Polyester
Streetwear,High,Adidas,Gym,Suit + Tie + Oxford Shoes,Rainy,High Comfort,Leather
Formal,Luxury,Nike,Night Out,Blazer + Chinos + Loafers,Rainy,High Comfort,Wool
Casual,High,Uniqlo,Office,T-Shirt + Jeans + Sneakers,Hot,High Comfort,Polyester
Bohemian,Luxury,Prada,Night Out,Tank Top + Shorts + Sandals,Mild,High Comfort,Denim
Bohemian,Low,Balenciaga,Gym,T-Shirt + Jeans + Sneakers,Mild,Comfortable,Cotton
Casual,High,Balenciaga,Beach,Blazer + Chinos + Loafers,Rainy,Comfortable,Cotton
Casual,Luxury,Uniqlo,Formal Event,Tank Top + Shorts + Sandals,Mild,Comfortable,Leather
Athleisure,Medium,Gucci,Gym,Suit + Tie + Oxford Shoes,Mild,Comfortable,Denim
Streetwear,Medium,Levi's,Night Out,Dress + Heels,Mild,Moderate,Wool
Bohemian,Luxury,Uniqlo,Gym,Denim Jacket + Skirt + Boots,Cold,High Comfort,Wool
Formal,Luxury,Uniqlo,Formal Event,Hoodie + Joggers + Trainers,Rainy,Casual,Leather
Athleisure,Medium,Under Armour,Night Out,Denim Jacket + Skirt + Boots,Hot,Casual,Wool
Casual,Luxury,Nike,Beach,Dress + Heels,Rainy,High Comfort,Wool
Casual,Low,H&M,Beach,Dress + Heels,Hot,High Comfort,Wool
Bohemian,High,Prada,Gym,Tank Top + Shorts + Sandals,Rainy,Comfortable,Denim
Streetwear,High,Balenciaga,Casual Outing,Blazer + Chinos + Loafers,Rainy,Casual,Wool
Casual,Low,Under Armour,Gym,T-Shirt + Jeans + Sneakers,Cold,Moderate,Leather
Streetwear,Medium,H&M,Night Out,Tank Top + Shorts + Sandals,Hot,Comfortable,Denim
Casual,Medium,H&M,Office,Tank Top + Shorts + Sandals,Hot,Moderate,Cotton
Formal,Medium,H&M,Night Out,Tank Top + Shorts + Sandals,Cold,Comfortable,Leather
Streetwear,Luxury,Zara,Gym,Hoodie + Joggers + Trainers,Hot,Casual,Denim
Casual,Low,Under Armour,Beach,T-Shirt + Jeans + Sneakers,Windy,High Comfort,Wool
Streetwear,Luxury,Uniqlo,Night Out,Dress + Heels,Windy,Casual,Wool
Formal,High,Adidas,Beach,Tank Top + Shorts + Sandals,Mild,Comfortable,Leather
Streetwear,Medium,Zara,Beach,Tank Top + Shorts + Sandals,Cold,High Comfort,Cotton
Casual,Luxury,H&M,Casual Outing,T-Shirt + Jeans + Sneakers,Hot,Casual,Cotton
Casual,High,Under Armour,Beach,Denim Jacket + Skirt + Boots,Cold,High Comfort,Leather
Formal,Low,Zara,Office,Suit + Tie + Oxford Shoes,Cold,Comfortable,Cotton
Athleisure,Medium,Under Armour,Office,Denim Jacket + Skirt + Boots,Mild,High Comfort,Leather
Formal,Luxury,Adidas,Night Out,Blazer + Chinos + Loafers,Windy,Comfortable,Cotton
Athleisure,Low,Levi's,Gym,Blazer + Chinos + Loafers,Hot,Moderate,Polyester
Athleisure,High,Under Armour,Formal Event,Denim Jacket + Skirt + Boots,Windy,High Comfort,Wool
Formal,Luxury,Under Armour,Night Out,Denim Jacket + Skirt + Boots,Cold,Casual,Leather
Casual,Luxury,H&M,Formal Event,T-Shirt + Jeans + Sneakers,Cold,High Comfort,Wool
Bohemian,Medium,Levi's,Beach,Tank Top + Shorts + Sandals,Mild,High Comfort,Polyester
Streetwear,Luxury,H&M,Formal Event,Dress + Heels,Mild,Moderate,Wool
Bohemian,Low,Levi's,Formal Event,Tank Top + Shorts + Sandals,Hot,Comfortable,Leather
Streetwear,Luxury,Nike,Office,Hoodie + Joggers + Trainers,Windy,High Comfort,Polyester
Formal,Luxury,Adidas,Night Out,T-Shirt + Jeans + Sneakers,Windy,Moderate,Denim
Streetwear,Medium,Zara,Night Out,Dress + Heels,Windy,Comfortable,Wool
Athleisure,High,Nike,Beach,Denim Jacket + Skirt + Boots,Cold,High Comfort,Leather
Bohemian,Medium,Nike,Casual Outing,Tank Top + Shorts + Sandals,Hot,Casual,Polyester
Bohemian,Low,Levi's,Night Out,Denim Jacket + Skirt + Boots,Mild,Moderate,Leather
Formal,Medium,Uniqlo,Formal Event,Hoodie + Joggers + Trainers,Mild,Casual,Polyester
Streetwear,High,H&M,Office,Hoodie + Joggers + Trainers,Windy,High Comfort,Wool
Bohemian,High,Uniqlo,Beach,T-Shirt + Jeans + Sneakers,Cold,Moderate,Wool
Bohemian,High,Zara,Beach,Dress + Heels,Hot,Comfortable,Leather
Bohemian,Medium,Balenciaga,Casual Outing,Suit + Tie + Oxford Shoes,Windy,Comfortable,Wool
Streetwear,High,Under Armour,Night Out,Suit + Tie + Oxford Shoes,Cold,Casual,Polyester
Bohemian,High,Nike,Formal Event,Blazer + Chinos + Loafers,Windy,Moderate,Wool
Casual,Medium,Prada,Formal Event,Tank Top + Shorts + Sandals,Windy,High Comfort,Cotton
Streetwear,Luxury,Zara,Casual Outing,Hoodie + Joggers + Trainers,Mild,Casual,Polyester
Streetwear,Luxury,Under Armour,Formal Event,Hoodie + Joggers + Trainers,Cold,Comfortable,Wool
Casual,Low,Levi's,Night Out,Dress + Heels,Hot,High Comfort,Polyester
Formal,Medium,Balenciaga,Beach,T-Shirt + Jeans + Sneakers,Hot,High Comfort,Wool
Formal,Low,Under Armour,Office,Blazer + Chinos + Loafers,Rainy,High Comfort,Cotton
Athleisure,Luxury,Nike,Office,Hoodie + Joggers + Trainers,Mild,Casual,Denim
Streetwear,Low,Gucci,Casual Outing,T-Shirt + Jeans + Sneakers,Windy,Casual,Denim
Casual,Luxury,Under Armour,Night Out,Suit + Tie + Oxford Shoes,Hot,High Comfort,Leather
Streetwear,Low,Nike,Casual Outing,Hoodie + Joggers + Trainers,Rainy,Comfortable,Wool
Bohemian,Low,Levi's,Office,Tank Top + Shorts + Sandals,Windy,Casual,Denim
Bohemian,Luxury,Uniqlo,Office,Hoodie + Joggers + Trainers,Cold,High Comfort,Leather
Athleisure,Luxury,Nike,Beach,Denim Jacket + Skirt + Boots,Cold,Moderate,Polyester
Athleisure,High,Zara,Gym,Hoodie + Joggers + Trainers,Mild,Comfortable,Wool
Casual,Low,Under Armour,Office,Suit + Tie + Oxford Shoes,Mild,Comfortable,Denim
Formal,Luxury,Nike,Beach,Tank Top + Shorts + Sandals,Cold,Comfortable,Leather
Bohemian,High,Gucci,Night Out,T-Shirt + Jeans + Sneakers,Hot,Casual,Wool
Formal,Low,Gucci,Office,Hoodie + Joggers + Trainers,Hot,Casual,Denim
Casual,High,H&M,Casual Outing,Hoodie + Joggers + Trainers,Hot,Comfortable,Wool
Bohemian,Low,Nike,Beach,Dress + Heels,Hot,Comfortable,Denim
Casual,Luxury,Adidas,Office,Dress + Heels,Windy,Casual,Leather
Athleisure,Low,H&M,Formal Event,Suit + Tie + Oxford Shoes,Mild,Comfortable,Wool
Streetwear,Low,Uniqlo,Night Out,Tank Top + Shorts + Sandals,Mild,Casual,Cotton
Bohemian,High,Zara,Beach,Dress + Heels,Cold,Moderate,Wool
Formal,High,Uniqlo,Formal Event,T-Shirt + Jeans + Sneakers,Windy,Casual,Polyester
Casual,Medium,Gucci,Formal Event,T-Shirt + Jeans + Sneakers,Rainy,Comfortable,Denim
Athleisure,Luxury,Balenciaga,Beach,Hoodie + Joggers + Trainers,Cold,Comfortable,Wool
Athleisure,Low,Balenciaga,Casual Outing,Denim Jacket + Skirt + Boots,Mild,Comfortable,Polyester
Casual,Medium,Gucci,Casual Outing,Hoodie + Joggers + Trainers,Rainy,Casual,Denim
Streetwear,Luxury,Nike,Night Out,Denim Jacket + Skirt + Boots,Rainy,Moderate,Polyester
Streetwear,Medium,Gucci,Formal Event,Blazer + Chinos + Loafers,Windy,Comfortable,Cotton
Bohemian,Medium,Gucci,Beach,Suit + Tie + Oxford Shoes,Mild,Comfortable,Cotton
Formal,High,Levi's,Night Out,Tank Top + Shorts + Sandals,Cold,Casual,Leather
Formal,Low,Balenciaga,Formal Event,Dress + Heels,Windy,Comfortable,Wool
Casual,High,Adidas,Gym,Hoodie + Joggers + Trainers,Rainy,High Comfort,Cotton
Athleisure,High,Zara,Formal Event,Blazer + Chinos + Loafers,Mild,Comfortable,Leather
Athleisure,High,Under Armour,Casual Outing,Dress + Heels,Hot,High Comfort,Polyester
Bohemian,Luxury,Prada,Beach,Denim Jacket + Skirt + Boots,Hot,Moderate,Denim
Athleisure,Luxury,Gucci,Gym,Dress + Heels,Hot,High Comfort,Wool
Bohemian,Luxury,H&M,Beach,Hoodie + Joggers + Trainers,Rainy,High Comfort,Polyester
Streetwear,High,Nike,Formal Event,Suit + Tie + Oxford Shoes,Windy,Moderate,Leather
Bohemian,High,Zara,Beach,Blazer + Chinos + Loafers,Mild,Moderate,Cotton
Athleisure,High,Nike,Night Out,T-Shirt + Jeans + Sneakers,Rainy,Casual,Cotton
Streetwear,High,Adidas,Formal Event,Blazer + Chinos + Loafers,Cold,Moderate,Leather
Streetwear,Low,Balenciaga,Office,Dress + Heels,Hot,High Comfort,Polyester
Casual,Luxury,Uniqlo,Night Out,T-Shirt + Jeans + Sneakers,Mild,High Comfort,Leather
Formal,High,Uniqlo,Formal Event,Tank Top + Shorts + Sandals,Mild,Moderate,Leather
Athleisure,Luxury,Zara,Beach,Suit + Tie + Oxford Shoes,Hot,Moderate,Polyester
Athleisure,Luxury,Levi's,Formal Event,Hoodie + Joggers + Trainers,Hot,Moderate,Leather
Streetwear,Medium,Adidas,Night Out,Tank Top + Shorts + Sandals,Hot,High Comfort,Cotton
Casual,Medium,Under Armour,Beach,Dress + Heels,Windy,Comfortable,Cotton
Casual,Luxury,Nike,Office,Tank Top + Shorts + Sandals,Cold,High Comfort,Wool
Streetwear,Low,Uniqlo,Office,Denim Jacket + Skirt + Boots,Windy,High Comfort,Polyester
Formal,Medium,Adidas,Office,T-Shirt + Jeans + Sneakers,Windy,Moderate,Leather
Formal,Luxury,Gucci,Office,Dress + Heels,Mild,High Comfort,Polyester
Casual,Medium,H&M,Office,T-Shirt + Jeans + Sneakers,Hot,High Comfort,Polyester
Formal,Low,Nike,Gym,Blazer + Chinos + Loafers,Hot,High Comfort,Wool
Streetwear,High,Zara,Beach,Blazer + Chinos + Loafers,Windy,High Comfort,Cotton
Casual,High,H&M,Beach,Dress + Heels,Rainy,Moderate,Polyester
Formal,High,Nike,Casual Outing,Suit + Tie + Oxford Shoes,Hot,High Comfort,Wool
Casual,High,Under Armour,Casual Outing,Hoodie + Joggers + Trainers,Mild,Comfortable,Denim
Streetwear,Low,Prada,Night Out,Hoodie + Joggers + Trainers,Cold,Moderate,Polyester
Formal,High,Adidas,Night Out,Denim Jacket + Skirt + Boots,Windy,Comfortable,Wool
Formal,Medium,H&M,Night Out,Denim Jacket + Skirt + Boots,Rainy,Comfortable,Cotton
Casual,High,Uniqlo,Office,T-Shirt + Jeans + Sneakers,Windy,Comfortable,Denim
Bohemian,Low,Adidas,Casual Outing,Blazer + Chinos + Loafers,Rainy,High Comfort,Cotton
Streetwear,Medium,Uniqlo,Office,T-Shirt + Jeans + Sneakers,Windy,Comfortable,Polyester
Athleisure,Luxury,Prada,Casual Outing,Blazer + Chinos + Loafers,Hot,High Comfort,Denim
Formal,High,Uniqlo,Formal Event,Denim Jacket + Skirt + Boots,Cold,High Comfort,Wool
Formal,Low,Uniqlo,Night Out,Hoodie + Joggers + Trainers,Windy,Casual,Leather
Formal,Luxury,Balenciaga,Casual Outing,Denim Jacket + Skirt + Boots,Mild,High Comfort,Polyester
Streetwear,Low,Prada,Office,Hoodie + Joggers + Trainers,Mild,Moderate,Polyester
Athleisure,Medium,H&M,Night Out,Dress + Heels,Mild,High Comfort,Polyester
Athleisure,Luxury,Levi's,Gym,Dress + Heels,Rainy,High Comfort,Leather
Casual,High,Levi's,Casual Outing,Tank Top + Shorts + Sandals,Windy,Casual,Wool
Casual,Medium,Levi's,Gym,T-Shirt + Jeans + Sneakers,Rainy,Moderate,Polyester
Casual,Luxury,Balenciaga,Formal Event,Denim Jacket + Skirt + Boots,Windy,High Comfort,Polyester
Formal,High,Uniqlo,Beach,T-Shirt + Jeans + Sneakers,Hot,Comfortable,Wool
Athleisure,Medium,Adidas,Casual Outing,T-Shirt + Jeans + Sneakers,Rainy,High Comfort,Cotton
Streetwear,High,Zara,Casual Outing,Denim Jacket + Skirt + Boots,Windy,Casual,Cotton
Streetwear,Medium,Prada,Beach,Blazer + Chinos + Loafers,Hot,Comfortable,Polyester
Casual,High,Zara,Night Out,Tank Top + Shorts + Sandals,Mild,Moderate,Leather
Formal,Luxury,Uniqlo,Night Out,T-Shirt + Jeans + Sneakers,Hot,High Comfort,Leather
Casual,Low,Uniqlo,Casual Outing,Dress + Heels,Rainy,Moderate,Cotton
Bohemian,Medium,H&M,Night Out,Denim Jacket + Skirt + Boots,Windy,Casual,Cotton
Athleisure,Luxury,Uniqlo,Night Out,T-Shirt + Jeans + Sneakers,Windy,Moderate,Cotton
Casual,Luxury,Nike,Night Out,Dress + Heels,Hot,High Comfort,Cotton
Casual,Luxury,Balenciaga,Office,Tank Top + Shorts + Sandals,Cold,Casual,Cotton
Formal,Luxury,Under Armour,Beach,Tank Top + Shorts + Sandals,Rainy,Moderate,Wool
Athleisure,Luxury,Nike,Gym,Dress + Heels,Cold,Comfortable,Polyester
Casual,Medium,Under Armour,Office,T-Shirt + Jeans + Sneakers,Rainy,High Comfort,Cotton
Formal,Luxury,Nike,Office,Denim Jacket + Skirt + Boots,Mild,Casual,Wool
Bohemian,High,Prada,Formal Event,Blazer + Chinos + Loafers,Rainy,Casual,Denim
Streetwear,High,Zara,Gym,Dress + Heels,Windy,Comfortable,Leather
Athleisure,Low,Balenciaga,Formal Event,Dress + Heels,Mild,Casual,Wool
Streetwear,Luxury,Levi's,Night Out,Suit + Tie + Oxford Shoes,Rainy,High Comfort,Polyester
Formal,Medium,Levi's,Casual Outing,Blazer + Chinos + Loafers,Windy,Casual,Polyester
Formal,Low,H&M,Beach,Dress + Heels,Rainy,Comfortable,Wool
Formal,High,Under Armour,Night Out,Tank Top + Shorts + Sandals,Windy,Moderate,Wool
Formal,Medium,Zara,Beach,Hoodie + Joggers + Trainers,Windy,Casual,Polyester
Streetwear,Medium,Balenciaga,Night Out,Tank Top + Shorts + Sandals,Rainy,High Comfort,Leather
Bohemian,Luxury,Gucci,Casual Outing,Dress + Heels,Hot,High Comfort,Leather
Casual,Luxury,Levi's,Gym,Tank Top + Shorts + Sandals,Rainy,Moderate,Leather
Casual,Medium,Levi's,Formal Event,Suit + Tie + Oxford Shoes,Cold,High Comfort,Wool
Streetwear,High,Zara,Gym,Denim Jacket + Skirt + Boots,Windy,High Comfort,Wool
Casual,High,Under Armour,Gym,Hoodie + Joggers + Trainers,Rainy,Casual,Polyester
Bohemian,High,Uniqlo,Casual Outing,Suit + Tie + Oxford Shoes,Hot,High Comfort,Leather
Casual,Medium,Gucci,Beach,Suit + Tie + Oxford Shoes,Rainy,Moderate,Denim
Athleisure,Low,Levi's,Night Out,Hoodie + Joggers + Trainers,Hot,Casual,Leather
Bohemian,High,Nike,Casual Outing,Denim Jacket + Skirt + Boots,Cold,High Comfort,Denim
Streetwear,High,Balenciaga,Casual Outing,Dress + Heels,Rainy,Casual,Polyester
Bohemian,High,Uniqlo,Formal Event,Dress + Heels,Hot,Comfortable,Cotton
Streetwear,Luxury,Gucci,Night Out,Dress + Heels,Windy,Moderate,Cotton
Athleisure,High,Under Armour,Office,Dress + Heels,Windy,Comfortable,Cotton
Casual,Luxury,H&M,Beach,Suit + Tie + Oxford Shoes,Hot,Comfortable,Wool
Casual,Luxury,Uniqlo,Casual Outing,T-Shirt + Jeans + Sneakers,Cold,Casual,Cotton
Streetwear,Medium,Under Armour,Formal Event,Tank Top + Shorts + Sandals,Rainy,Casual,Cotton
Athleisure,Medium,Gucci,Night Out,Suit + Tie + Oxford Shoes,Cold,Comfortable,Polyester
Formal,Low,Balenciaga,Beach,Tank Top + Shorts + Sandals,Mild,Moderate,Denim
